control_id,family,narrative_path,evidence_sources,status,owner,notes
i1-seed-ism,Information Security Management Program,compliance/hitrust/narratives/i1-seed-ism.md,compliance/hitrust/ssp.md; spec/SECURITY.md; formal/OWNERS.md,partial,chio-security,Governance documented in-repo; formal security-review cadence is a gap.
i1-seed-access,Access Control,compliance/hitrust/narratives/i1-seed-access.md,spec/PROTOCOL.md; crates/chio-kernel-core/src/evaluate.rs; crates/chio-core-types/src/capability.rs; spec/security/chio-threat-model.v1.json,implemented,chio-security,Capability algebra revocation and sender constraints implemented and formally checked.
i1-seed-hr,Human Resources Security,compliance/hitrust/narratives/i1-seed-hr.md,none in repository,gap,chio-security,Out-of-tree HR evidence required; no repository evidence exists.
i1-seed-risk,Risk Management,compliance/hitrust/narratives/i1-seed-risk.md,spec/security/chio-threat-model.v1.json; docs/security/threat-coverage.md; spec/security/coverage.yaml,implemented,chio-security,Threat model and coverage table exist in-repo.
i1-seed-policy,Security Policy,compliance/hitrust/narratives/i1-seed-policy.md,spec/SECURITY.md; docs/security/,implemented,chio-security,Security policy corpus exists in-repo.
i1-seed-org,Organization of Information Security,compliance/hitrust/narratives/i1-seed-org.md,formal/OWNERS.md; fuzz/owners.toml,partial,chio-security,Ownership documented for formal evidence; broader operating-role evidence is out-of-tree.
i1-seed-compliance,Compliance,compliance/hitrust/narratives/i1-seed-compliance.md,compliance/hitrust/ssp.md; compliance/hitrust/scope-boundary.md,partial,chio-security,Self-assessment material only; no external assessment performed.
i1-seed-assets,Asset Management,compliance/hitrust/narratives/i1-seed-assets.md,supply-chain/audits.toml; supply-chain/imports.lock; .github/workflows/sbom.yml; .github/workflows/cve-monitor.yml,implemented,chio-security,SBOM cargo-vet and CVE monitoring exist in-repo.
i1-seed-physical,Physical and Environmental Security,compliance/hitrust/narratives/i1-seed-physical.md,none in repository,gap,chio-security,Cloud-provider inheritance evidence is out-of-tree; not yet collected.
i1-seed-ops,Communications and Operations Management,compliance/hitrust/narratives/i1-seed-ops.md,spec/audit-log/export-schema.v1.json; .github/workflows/ci.yml; crates/chio-kernel/src/receipt_store.rs,partial,chio-security,Audit-log schema CI and receipts pipeline exist; production operational samples are a gap.
i1-seed-dev,Systems Acquisition Development and Maintenance,compliance/hitrust/narratives/i1-seed-dev.md,.github/workflows/reproducible-build.yml; supply-chain/audits.toml; formal/MAPPING.md; formal/proof-manifest.toml,implemented,chio-security,Reproducible build supply-chain and formal evidence exist in-repo.
i1-seed-ir,Incident Management,compliance/hitrust/narratives/i1-seed-ir.md,compliance/hitrust/ir-runbook.md,partial,chio-security,Incident runbook documented; first-cycle execution evidence is a gap.
i1-seed-bcm,Business Continuity Management,compliance/hitrust/narratives/i1-seed-bcm.md,none in repository,gap,chio-security,Design-partner DR evidence is out-of-tree; not yet collected.
i1-seed-privacy,Privacy Practices,compliance/hitrust/narratives/i1-seed-privacy.md,crates/chio-log-redact/src/lib.rs; compliance/hitrust/policies/de-identification.md,partial,chio-security,Receipt redaction implemented and de-identification policy documented; BAA and PHI handling are out-of-tree.
ctl-access,Access Control,compliance/hitrust/narratives/i1-seed-access.md,spec/PROTOCOL.md; spec/SECURITY.md; spec/security/chio-threat-model.v1.json; crates/chio-kernel-core/src/evaluate.rs; formal/MAPPING.md,implemented,chio-security,Capability algebra evidenced by kernel code and formal proofs.
ctl-risk,Risk Management,compliance/hitrust/narratives/i1-seed-risk.md,docs/security/threat-coverage.md; spec/security/chio-threat-model.v1.json,implemented,chio-security,Threat model and coverage table exist in-repo.
ctl-ops,Communications and Operations Management,compliance/hitrust/narratives/i1-seed-ops.md,spec/audit-log/export-schema.v1.json; crates/chio-kernel/src/receipt_store.rs; .github/workflows/ci.yml,partial,chio-security,Audit-log schema and receipt pipeline exist; 30-day operational samples are a gap.
ctl-dev,Systems Acquisition Development and Maintenance,compliance/hitrust/narratives/i1-seed-dev.md,.github/workflows/reproducible-build.yml; .github/workflows/slsa.yml; supply-chain/audits.toml; formal/MAPPING.md,implemented,chio-security,Reproducible build SLSA provenance supply-chain and formal evidence exist in-repo.
ctl-assets,Asset Management,compliance/hitrust/narratives/i1-seed-assets.md,supply-chain/audits.toml; .github/workflows/sbom.yml; .github/workflows/cve-monitor.yml,implemented,chio-security,SBOM cargo-vet and CVE monitoring exist in-repo.
ctl-privacy,Privacy Practices,compliance/hitrust/narratives/i1-seed-privacy.md,spec/audit-log/export-schema.v1.json; crates/chio-log-redact/src/lib.rs; compliance/hitrust/policies/de-identification.md,partial,chio-security,Receipt redaction implemented and de-id policy documented; BAA receipt is out-of-tree.
ctl-incident,Incident Management,compliance/hitrust/narratives/i1-seed-ir.md,compliance/hitrust/ir-runbook.md; spec/security/chio-threat-model.v1.json,partial,chio-security,Incident runbook documented; first-cycle execution evidence is a gap.
