fact,state,slot,attested_by,invention_step
treaty_scope_sha256,absent,a vendor-prefixed key in the tool call's metadata,caller,"a vendor-prefixed key in the tool call's metadata, or a key in the message's metadata map"
treaty_scope_sha256,absent,a vendor-prefixed key in the tool call's metadata,caller,"a name agreed bilaterally, since the reserved prefixes belong to the protocol and the rest is vendor space"
treaty_scope_sha256,absent,a vendor-prefixed key in the tool call's metadata,caller,a rule in the receiver that reads the key and compares it against its own record
treaty_scope_sha256,absent,a vendor-prefixed key in the tool call's metadata,caller,"acceptance that the value is attested by the caller, because no signature in the set covers the message body"
ladder_intersection_sha256,absent,a private claim of the issued token,issuing_authorization_server,"a parameter on the token exchange request, which the exchange does not define, so the counterparty's authorization server must be changed to accept one"
ladder_intersection_sha256,absent,a private claim of the issued token,issuing_authorization_server,"a private claim in the issued token, which that server must be changed to mint"
ladder_intersection_sha256,absent,a private claim of the issued token,issuing_authorization_server,"a name for both, agreed bilaterally, since no registry defines one"
ladder_intersection_sha256,absent,a private claim of the issued token,issuing_authorization_server,a rule in the receiver that reads the claim and compares it against its own record
admission_report_sha256,absent,a private claim of the issued token,issuing_authorization_server,"a parameter on the token exchange request, which the exchange does not define, so the counterparty's authorization server must be changed to accept one"
admission_report_sha256,absent,a private claim of the issued token,issuing_authorization_server,"a private claim in the issued token, which that server must be changed to mint"
admission_report_sha256,absent,a private claim of the issued token,issuing_authorization_server,"a name for both, agreed bilaterally, since no registry defines one"
admission_report_sha256,absent,a private claim of the issued token,issuing_authorization_server,a rule in the receiver that reads the claim and compares it against its own record
consistency_model,absent,a private claim of the issued token,issuing_authorization_server,"a parameter on the token exchange request, which the exchange does not define, so the counterparty's authorization server must be changed to accept one"
consistency_model,absent,a private claim of the issued token,issuing_authorization_server,"a private claim in the issued token, which that server must be changed to mint"
consistency_model,absent,a private claim of the issued token,issuing_authorization_server,"a name for both, agreed bilaterally, since no registry defines one"
consistency_model,absent,a private claim of the issued token,issuing_authorization_server,a rule in the receiver that reads the claim and compares it against its own record
